Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Export quantity","Rice and products","2017","1000 t","69036"
"Food Balances (2010-)","World","Feed","Rice and products","2017","1000 t","36644"
"Food Balances (2010-)","World","Seed","Rice and products","2017","1000 t","18128"
"Food Balances (2010-)","World","Losses","Rice and products","2017","1000 t","31334"
"Food Balances (2010-)","World","Processing","Rice and products","2017","1000 t","14550"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2017","1000 t","20047"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2017","1000 t","123"
"Food Balances (2010-)","World","Residuals","Rice and products","2017","1000 t","1124"
"Food Balances (2010-)","World","Food","Rice and products","2017","1000 t","604834"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2017","kg/cap","80.03"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2017","kcal/cap/d","516.59"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2017","Kcal","1424970143.15"
"Food Balances (2010-)","World","Production","Rice and products","2018","1000 t","761351"
"Food Balances (2010-)","World","Import quantity","Rice and products","2018","1000 t","69372"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2018","1000 t","25511"
"Food Balances (2010-)","World","Export quantity","Rice and products","2018","1000 t","68258"
"Food Balances (2010-)","World","Feed","Rice and products","2018","1000 t","37782"
"Food Balances (2010-)","World","Seed","Rice and products","2018","1000 t","17924"
"Food Balances (2010-)","World","Losses","Rice and products","2018","1000 t","31915"
"Food Balances (2010-)","World","Processing","Rice and products","2018","1000 t","14840"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2018","1000 t","19810"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2018","1000 t","125"
"Food Balances (2010-)","World","Residuals","Rice and products","2018","1000 t","4138"
"Food Balances (2010-)","World","Food","Rice and products","2018","1000 t","610420"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2018","kg/cap","79.89"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2018","kcal/cap/d","516.34"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2018","Kcal","1440073339.95"
"Food Balances (2010-)","World","Production","Rice and products","2019","1000 t","749713"
"Food Balances (2010-)","World","Import quantity","Rice and products","2019","1000 t","70635"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2019","1000 t","7290"
"Food Balances (2010-)","World","Export quantity","Rice and products","2019","1000 t","64821"
"Food Balances (2010-)","World","Feed","Rice and products","2019","1000 t","41682"
"Food Balances (2010-)","World","Seed","Rice and products","2019","1000 t","18609"
"Food Balances (2010-)","World","Losses","Rice and products","2019","1000 t","31328"
"Food Balances (2010-)","World","Processing","Rice and products","2019","1000 t","15294"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2019","1000 t","21560"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2019","1000 t","478"
"Food Balances (2010-)","World","Residuals","Rice and products","2019","1000 t","3185"
"Food Balances (2010-)","World","Food","Rice and products","2019","1000 t","616101"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2019","kg/cap","79.62"
